index,person_id,id,name,character,role
41,11475,tm127384,Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,ACTOR
42,11476,tm127384,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR
43,40898,tm127384,Connie Booth,The Witch,ACTOR
44,11478,tm127384,Carol Cleveland,Zoot / Dingo,ACTOR
45,11482,tm127384,Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR
46,40899,tm127384,Bee Duffell,Old Crone,ACTOR
47,11481,tm127384,John Young,Dead Body / Historian Frank,ACTOR
48,40900,tm127384,Rita Davies,Historian's Wife,ACTOR
49,40901,tm127384,Avril Stewart,Dr. Piglet,ACTOR
50,40902,tm127384,Sally Kinghorn,Dr. Winston,ACTOR
51,40903,tm127384,Mark Zycon,Prisoner,ACTOR
52,1275018,tm127384,Elspeth Cameron,Girl in Castle Anthrax,ACTOR
53,1462970,tm127384,Mitsuko Forstater,Girl in Castle Anthrax,ACTOR
54,589811,tm127384,Sandy Johnson,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR
55,976111,tm127384,Sandy Rose,Girl in Castle Anthrax,ACTOR
56,1462971,tm127384,Romilly Squire,Musician at Wedding / Villager at Witch Burning,ACTOR
57,90024,tm127384,Joni Flynn,Girl in Castle Anthrax,ACTOR
58,1462991,tm127384,Alison Walker,Girl in Castle Anthrax,ACTOR
59,1462993,tm127384,Loraine Ward,Girl in Castle Anthrax,ACTOR
60,1462994,tm127384,Anna Lanski,Girl in Castle Anthrax,ACTOR
61,1462623,tm127384,Sally Coombe,Girl in Castle Anthrax,ACTOR
62,1462995,tm127384,Vivienne MacDonald,Girl in Castle Anthrax,ACTOR
63,1462975,tm127384,Yvonne Dick,Girl in Castle Anthrax,ACTOR
64,1462978,tm127384,Daphne Darling,Girl in Castle Anthrax,ACTOR
65,703435,tm127384,Fiona Gordon,Girl in Castle Anthrax,ACTOR
66,1463011,tm127384,Judy Lamb,Girl in Castle Anthrax,ACTOR
67,1462986,tm127384,Tracy Sneddon,Girl in Castle Anthrax,ACTOR
68,1462588,tm127384,Joyce Pollner,Girl in Castle Anthrax,ACTOR
69,889417,tm127384,Mary Allen,Girl in Castle Anthrax,ACTOR
70,1464056,tm127384,Gloria Graham,Girl in Castle Anthrax,ACTOR
71,1671807,tm127384,Sylvia Taylor,Girl in Castle Anthrax,ACTOR
72,11490,tm127384,Julian Doyle,Police Sergeant (uncredited),ACTOR
73,84047,tm127384,Margarita Doyle,Peasant (uncredited),ACTOR
74,1463016,tm127384,Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR
75,1463018,tm127384,Scott Mike,Bash (Mudfighter (uncredited),ACTOR
76,1463021,tm127384,William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR
77,11475,tm127384,Terry Jones,Themselves (uncredited),ACTOR
78,919694,tm127384,Tom Raeburn,Guard Eating Apple (uncredited),ACTOR
79,400172,tm127384,Brian Ross,Biff (Mudfighter) (uncredited),ACTOR
80,14908,tm127384,Roy Forge Smith,Inspector End of Film (uncredited),ACTOR
81,8327,tm127384,John Thornton,Dancing Knight (uncredited),ACTOR
82,156072,tm127384,Maggie Weston,Page-turner (uncredited),ACTOR
83,11475,tm127384,Terry Jones,,DIRECTOR
84,11473,tm127384,Terry Gilliam,,DIRECTOR
85,11472,tm70993,Graham Chapman,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR
86,1549,tm70993,John Cleese,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR
87,11473,tm70993,Terry Gilliam,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR
88,11474,tm70993,Eric Idle,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR
89,11475,tm70993,Terry Jones,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR
90,11476,tm70993,Michael Palin,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR
91,11477,tm70993,Terence Bayler,Gregory,ACTOR
92,11478,tm70993,Carol Cleveland,Mrs. Gregory,ACTOR
93,11479,tm70993,Kenneth Colley,Jesus,ACTOR
94,11482,tm70993,Neil Innes,A Weedy Samaritan,ACTOR
95,11480,tm70993,Charles McKeown,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR
96,11481,tm70993,John Young,"Matthias, Son of Deuteronomy of Gath",ACTOR
97,11483,tm70993,Gwen Taylor,Mrs. Big Nose,ACTOR
98,11484,tm70993,Sue Jones-Davies,Judith Iscariot,ACTOR
99,548006,tm70993,Peter Brett,,ACTOR
100,11485,tm70993,John Case,Pilate's Wife,ACTOR
101,11489,tm70993,Chris Langham,Alfonso / Giggling Guard,ACTOR
102,11487,tm70993,Andrew MacLachlan,Another Official Stoners Helper / Giggling Guard,ACTOR
103,11486,tm70993,Bernard McKenna,Parvus / Official Stoners Helper / Giggling Guard,ACTOR
104,73106,tm70993,Spike Milligan,Spike,ACTOR
105,11488,tm70993,George Harrison,Mr. Papadopolous (uncredited),ACTOR
106,11475,tm70993,Terry Jones,,DIRECTOR
107,1700,tm190788,Ellen Burstyn,Chris MacNeil,ACTOR
108,14440,tm190788,Linda Blair,Regan Teresa MacNeil,ACTOR
109,3288,tm190788,Max von Sydow,Father Lankester Merrin,ACTOR
110,8032,tm190788,Lee J. Cobb,Lt. William F. Kinderman,ACTOR
111,14442,tm190788,Kitty Winn,Sharon Spencer,ACTOR
112,14444,tm190788,Jack MacGowran,Burke Dennings,ACTOR
113,14441,tm190788,Jason Miller,Father Damien Karras,ACTOR
114,14443,tm190788,William O'Malley,Father Joseph Dyer,ACTOR
115,14445,tm190788,Barton Heyman,Dr. Samuel Klein,ACTOR
116,14446,tm190788,Peter Masterson,Dr. Barringer,ACTOR
117,14447,tm190788,Rudolf Schündler,Karl,ACTOR
118,520251,tm190788,Gina Petrushka,Willi,ACTOR
119,14448,tm190788,Robert Symonds,Dr. Taney,ACTOR
120,518372,tm190788,Arthur Storch,Psychiatrist,ACTOR
121,450171,tm190788,Thomas Bermingham,Tom,ACTOR
122,1022050,tm190788,Vasiliki Maliaros,Mary Karras,ACTOR
123,14449,tm190788,Titos Vandis,Uncle John,ACTOR
124,14622,tm190788,John Mahon,Language Lab Director,ACTOR
125,525566,tm190788,Wallace Rooney,Bishop Michael,ACTOR
126,50859,tm190788,Ron Faber,Chuck / Demon (voice),ACTOR
127,7101,tm190788,Donna Mitchell,Mary Jo Perrin,ACTOR
128,49762,tm190788,Roy Cooper,Jesuit Dean,ACTOR
129,176,tm190788,Robert Gerringer,Senator at Party,ACTOR
130,14450,tm190788,Mercedes McCambridge,Demon (voice),ACTOR
131,1171700,tm190788,Paul Bateson,Radiologist's Assistant (uncredited),ACTOR
132,1171801,tm190788,Elinore Blair,Nurse (uncredited),ACTOR
133,14452,tm190788,William Peter Blatty,The Producer (uncredited),ACTOR
134,82422,tm190788,Mary Boylan,First Mental Patient (uncredited),ACTOR
135,554384,tm190788,Mason Curry,Doctor (voice) (uncredited),ACTOR
136,920339,tm190788,Toni Darnay,Violent psychotic patient (uncredited),ACTOR
137,14451,tm190788,Eileen Dietz,Demon / Regan Double (uncredited),ACTOR
138,1171714,tm190788,Joanne Dusseau,Senator's Wife (uncredited),ACTOR
139,1031264,tm190788,Bernard Eismann,Minor Role (uncredited),ACTOR
140,1171814,tm190788,Beatrice Hunter,Minor Role (uncredited),ACTOR
141,897392,tm190788,Yvonne Jones,Bellevue Nurse (uncredited),ACTOR
142,1171936,tm190788,Don LaBonte,Minor Role (uncredited),ACTOR
143,1171750,tm190788,Barton Lane,Angiography Doctor (uncredited),ACTOR
144,1171752,tm190788,Ann Miles,Spiderwalk (uncredited),ACTOR
145,1171860,tm190788,John Nicola,Priest (uncredited),ACTOR
146,1171760,tm190788,Vincent Russell,Subway Vagrant (uncredited),ACTOR
147,1171764,tm190788,Gerard F. Yates,Priest Singing Around Piano at Party (uncredited),ACTOR
148,14255,tm190788,William Friedkin,,DIRECTOR
149,11472,ts22164,Graham Chapman,Various,ACTOR
150,11476,ts22164,Michael Palin,"Various / ""It's"" man",ACTOR
151,11475,ts22164,Terry Jones,Various,ACTOR
152,11474,ts22164,Eric Idle,Various,ACTOR
153,11473,ts22164,Terry Gilliam,Various,ACTOR
154,6050,tm14873,Clint Eastwood,Harry,ACTOR
155,74499,tm14873,Harry Guardino,Bressler,ACTOR
156,24045,tm14873,Reni Santoni,Chico,ACTOR
157,29250,tm14873,John Vernon,The Mayor,ACTOR
158,29225,tm14873,Andrew Robinson,Killer,ACTOR
159,63141,tm14873,John Larch,Chief,ACTOR
160,28420,tm14873,John Mitchum,De Georgio,ACTOR
161,83026,tm14873,Mae Mercer,Mrs. Russell,ACTOR
162,83027,tm14873,Lyn Edgington,Norma,ACTOR
163,83028,tm14873,Ruth Kobart,Bus Driver,ACTOR
164,29253,tm14873,Woodrow Parfrey,Mr. Jaffe,ACTOR
165,7250,tm14873,Josef Sommer,Rothko,ACTOR
166,83029,tm14873,William Paterson,Bannerman,ACTOR
167,44085,tm14873,James Nolan,Liquor Proprietor,ACTOR
168,28418,tm14873,Maurice Argent,Sid Kleinman,ACTOR
169,83030,tm14873,Jo De Winter,Miss Willis,ACTOR
170,642080,tm14873,Craig Kelly,Sgt. Reineke,ACTOR
171,24203,tm14873,Albert Popwell,Bank Robber (uncredited),ACTOR
172,83031,tm14873,Joy Carlin,Communications Secretary (uncredited),ACTOR
173,83032,tm14873,Bill Couch,Suicide Jumper (uncredited),ACTOR
174,83033,tm14873,Diana Davidson,Swimmer (uncredited),ACTOR
175,6848,tm14873,Vince Deadrick Sr.,Pedestrian (uncredited),ACTOR
176,83034,tm14873,Chuck Dorsett,TV Watcher (uncredited),ACTOR
177,83035,tm14873,Al Dunlap,Man in Jaffe's Cafe (uncredited),ACTOR
178,83036,tm14873,Larry Duran,(uncredited),ACTOR
179,63147,tm14873,George Fargo,Homicide Detective (uncredited),ACTOR
180,83037,tm14873,Lois Foraker,Hot Mary (uncredited),ACTOR
181,29725,tm14873,Max Gail,Tunnel Hoodlum (uncredited),ACTOR
182,19846,tm14873,John Garber,Tunnel Hoodlum (uncredited),ACTOR
183,37760,tm14873,Christopher Pray,Tunnel Hoodlum (uncredited),ACTOR
184,83038,tm14873,Eddie Garrett,Policeman (uncredited),ACTOR
185,58911,tm14873,James W. Gavin,Helicopter Pilot (uncredited),ACTOR
186,28432,tm14873,David Gilliam,Homosexual (uncredited),ACTOR
187,83039,tm14873,Don Haggerty,Minor Role (uncredited),ACTOR
188,83040,tm14873,Scott Hale,Newsman (uncredited),ACTOR
189,83041,tm14873,Kate Harper,Underwear Chick (uncredited),ACTOR
190,83042,tm14873,Bob Harris,Man in Truck (uncredited),ACTOR
191,15562,tm14873,Chuck Hicks,Flower Vendor (uncredited),ACTOR
192,28171,tm14873,Raymond Johnson,Big Black Man (uncredited),ACTOR
193,58618,tm14873,Richard Lawson,Homosexual (uncredited),ACTOR
194,83043,tm14873,Laurie Mock,Third Nude (uncredited),ACTOR
195,83044,tm14873,Ann Noland,Hippie Girl (uncredited),ACTOR
196,83045,tm14873,Kathleen O'Malley,Lady in Jaffe's Cafe (uncredited),ACTOR
197,11774,tm14873,Angela Paton,Homicide Detective (uncredited),ACTOR
198,83046,tm14873,Victor Paul,Car Driver (uncredited),ACTOR
199,27040,tm14873,Debralee Scott,Ann Mary Deacon (uncredited),ACTOR
200,56405,tm14873,Don Siegel,Pedestrian Passing Harry's Car (uncredited),ACTOR
201,83047,tm14873,Kristoffer Tabori,Hippie Guy (uncredited),ACTOR
202,357644,tm14873,Tony Dario,Police Sergeant (uncredited),ACTOR
203,1254876,tm14873,Marc Hertsens,Steve - Doctor (uncredited),ACTOR
204,1254791,tm14873,Gordon Chapli,Fireman (uncredited),ACTOR
205,1254778,tm14873,Janet Wisely,First Nude (uncredited),ACTOR
206,1255103,tm14873,Pamela Tanimura,Bus Kid (uncredited),ACTOR
207,1254838,tm14873,Richard Samuelson,Bus Kid (uncredited),ACTOR
208,1255106,tm14873,Derek Jue,Bus Kid (uncredited),ACTOR
209,1255122,tm14873,Sean Maley,Bus Kid (uncredited),ACTOR
210,1255589,tm14873,Diane Darnell,Mayor's Secretary (uncredited),ACTOR
211,56405,tm14873,Don Siegel,,DIRECTOR
212,14081,tm185072,Audrey Hepburn,Eliza Doolittle,ACTOR
213,29434,tm185072,Rex Harrison,Professor Henry Higgins,ACTOR
214,70452,tm185072,Stanley Holloway,Alfred P. Doolittle,ACTOR
215,20032,tm185072,Wilfrid Hyde-White,Colonel Hugh Pickering,ACTOR
216,66907,tm185072,Gladys Cooper,Mrs. Higgins,ACTOR
217,92956,tm185072,Jeremy Brett,Freddy Eynsford-Hill,ACTOR
218,95111,tm185072,Theodore Bikel,Zoltan Karpathy,ACTOR
219,96235,tm185072,Mona Washbourne,Mrs. Pearce,ACTOR
220,71879,tm185072,Isobel Elsom,Mrs. Eynsford-Hill,ACTOR
221,17920,tm185072,John Holland,Butler,ACTOR
222,22464,tm185072,Colin Kenny,Ad Lib at Church (uncredited),ACTOR
223,22474,tm185072,Bert Stevens,Gentleman (uncredited),ACTOR
224,36157,tm185072,Frank Baker,Gentleman (uncredited),ACTOR
225,32994,tm185072,Marjorie Bennett,Cockney with Pipe (uncredited),ACTOR
226,102105,tm185072,Betty Blythe,Lady at Ball (uncredited),ACTOR
227,7781,tm185072,Arthur Tovey,Singer (uncredited),ACTOR
228,12880,tm185072,Marni Nixon,Eliza Doolittle (singing voice) (uncredited),ACTOR
229,132399,tm185072,Al Bain,Cockney (uncredited),ACTOR
230,517599,tm185072,William Beckley,Footman (uncredited),ACTOR
231,13326,tm185072,Lillian Kemble-Cooper,Lady Ambassador (uncredited),ACTOR
232,22454,tm185072,Henry Daniell,Ambassador (uncredited),ACTOR
233,523436,tm185072,Brendan Dillon,Leading Man (uncredited),ACTOR
234,13439,tm185072,George Cukor,,DIRECTOR
235,14989,tm98978,Brooke Shields,Emmeline,ACTOR
236,44313,tm98978,Christopher Atkins,Richard,ACTOR
237,36764,tm98978,Leo McKern,Paddy Button,ACTOR
238,30068,tm98978,William Daniels,Arthur Lestrange,ACTOR
239,80677,tm98978,Jeffrey Kleiser,Lookout,ACTOR
240,66492,tm98978,Gus Mercurio,Officer,ACTOR
241,80678,tm98978,Elva Josephson,Young Emmeline,ACTOR
242,80679,tm98978,Glenn Kohan,Young Richard,ACTOR
243,80680,tm98978,Bradley Pryce,Little Paddy,ACTOR
244,80681,tm98978,Chad Timmerman,Infant Paddy,ACTOR
245,80682,tm98978,Gert Jacoby,Sailor,ACTOR
246,80683,tm98978,Alex Hamilton,Sailor,ACTOR
247,80684,tm98978,Richard Evanson,Sailor,ACTOR
248,28692,tm98978,Randal Kleiser,,DIRECTOR
249,20837,tm119281,Warren Beatty,Clyde Barrow,ACTOR
250,17170,tm119281,Faye Dunaway,Bonnie Parker,ACTOR
251,16446,tm119281,Michael J. Pollard,C. W. Moss,ACTOR
252,15098,tm119281,Gene Hackman,Buck Barrow,ACTOR
253,22346,tm119281,Estelle Parsons,Blanche,ACTOR
254,18249,tm119281,Denver Pyle,Frank Hamer,ACTOR
255,11347,tm119281,Dub Taylor,Ivan Moss,ACTOR
256,22347,tm119281,Evans Evans,Velma Davis,ACTOR
257,22345,tm119281,Gene Wilder,Eugene Grizzard,ACTOR
258,22348,tm119281,Mabel Cavitt,Bonnie's mother (uncredited),ACTOR
259,22349,tm119281,Patrick Cranshaw,Bank Teller (uncredited),ACTOR
260,345491,tm119281,Owen Bush,Policeman (uncredited),ACTOR
261,22351,tm119281,Clyde Howdy,Deputy (uncredited),ACTOR
262,22352,tm119281,Russ Marker,Bank Guard (uncredited),ACTOR
263,22354,tm119281,Ann Palmer,Bonnie's Sister (uncredited),ACTOR
264,511857,tm119281,Ken Mayer,Sheriff Smoot (uncredited),ACTOR
265,22355,tm119281,Arthur Penn,,DIRECTOR
266,26187,tm67378,Burt Lancaster,Dolworth,ACTOR
267,35196,tm67378,Lee Marvin,Fardan,ACTOR
268,24126,tm67378,Robert Ryan,Ehrengard,ACTOR
269,36499,tm67378,Woody Strode,Jake,ACTOR
270,16444,tm67378,Jack Palance,Jesus Raza,ACTOR
271,16488,tm67378,Claudia Cardinale,Maria,ACTOR
272,12463,tm67378,Ralph Bellamy,Grant,ACTOR
273,62767,tm67378,Joe De Santis,Ortega,ACTOR
274,62768,tm67378,Rafael Bertrand,Fierro,ACTOR
275,62769,tm67378,Jorge Martínez de Hoyos,Padilla,ACTOR
276,62770,tm67378,Marie Gomez,Chiquita,ACTOR
277,57746,tm67378,José Chávez,Revolutionary,ACTOR
278,127918,tm67378,Carlos Romero,Revolutionary,ACTOR
279,23699,tm67378,Vaughn Taylor,Banker,ACTOR
280,534965,tm67378,Elizabeth Campbell,Mexican Girl (uncredited),ACTOR
281,1461646,tm67378,Don Carlos,Bandit (uncredited),ACTOR
282,58919,tm67378,Leigh Chapman,Lady (uncredited),ACTOR
283,80218,tm67378,Roberto Contreras,Bandit (uncredited),ACTOR
284,2209884,tm67378,Dirk Evans,Man at Door (uncredited),ACTOR
285,539684,tm67378,Darwin Lamb,Hooper (uncredited),ACTOR
286,227842,tm67378,Eddie Little Sky,Jake's Prisoner (uncredited),ACTOR
287,2209736,tm67378,John Lopez,Mexican Servant (uncredited),ACTOR
288,101889,tm67378,John McKee,Sheriff (uncredited),ACTOR
289,534354,tm67378,Philip L. Parslow,Deputy Sheriff (uncredited),ACTOR
290,650832,tm67378,Ron Veto,Mexican Soldier (uncredited),ACTOR
291,23705,tm67378,Richard Brooks,,DIRECTOR
292,16024,tm44204,Gregory Peck,Capt. Keith Mallory,ACTOR
293,16485,tm44204,David Niven,Cpl. James Arthur Miller,ACTOR
294,16350,tm44204,Anthony Quinn,Col. Andrea Stavros,ACTOR
295,29175,tm44204,Stanley Baker,Pvt. 'Butcher' Brown,ACTOR
296,16352,tm44204,Anthony Quayle,Maj. Roy Franklin,ACTOR
297,29176,tm44204,James Darren,Pvt. Spyros Pappadimos,ACTOR
298,21795,tm44204,Irene Papas,Maria Pappadimos,ACTOR
299,29177,tm44204,Gia Scala,Anna,ACTOR
300,29178,tm44204,James Robertson Justice,Commodore Jensen / Prologue Narrator,ACTOR
301,4431,tm44204,Richard Harris,Squadron Leader Howard Barnsby RAAF,ACTOR
302,29179,tm44204,Bryan Forbes,Cohn,ACTOR
303,29180,tm44204,Allan Cuthbertson,Maj. Baker,ACTOR
304,16493,tm44204,Michael Trubshawe,Weaver,ACTOR
305,27914,tm44204,Percy Herbert,Sgt. Grogan,ACTOR
306,16882,tm44204,George Mikell,SS Hauptman Sessler,ACTOR
307,11738,tm44204,Walter Gotell,Muesel,ACTOR
308,13701,tm44204,Tutte Lemkow,Nicolai,ACTOR
309,29181,tm44204,Albert Lieven,Commandant,ACTOR
310,29182,tm44204,Norman Wooland,Group Captain,ACTOR
311,613906,tm44204,Kleo Skouloudi,Bride,ACTOR
312,29184,tm44204,Nicholas Papakonstantinou,Patrol Boat Captain,ACTOR
313,29185,tm44204,Christopher Rhodes,German Gunnery Officer,ACTOR
314,13433,tm44204,William Hoehne Jr.,German Officer on Navarone,ACTOR
315,29187,tm44204,J. Lee Thompson,,DIRECTOR
316,26761,tm69778,Yasuo Yamada,Arsene Lupin III (voice),ACTOR
317,26762,tm69778,Eiko Masuyama,Fujiko Mine (voice),ACTOR
318,26764,tm69778,Kiyoshi Kobayashi,Daisuke Jigen (voice),ACTOR
319,26765,tm69778,Gorō Naya,Inspector Zenigata (voice),ACTOR
320,26766,tm69778,Sumi Shimamoto,Lady Clarisse de Cagliostro (voice),ACTOR
321,26767,tm69778,Tarô Ishida,Count Cagliostro (voice),ACTOR
322,26769,tm69778,Akio Nojima,Japanese Delegate (voice),ACTOR
323,26768,tm69778,Eken Mine,Archbishop's Driver (voice),ACTOR
324,26770,tm69778,Ichirō Nagai,Jodo (voice),ACTOR
325,26771,tm69778,Junkichi Yarita,Soviet Delegate (voice),ACTOR
326,26772,tm69778,Kinpei Azusa,Archbishop (voice),ACTOR
327,26773,tm69778,Kōhei Miyauchi,Gardener (voice),ACTOR
328,26774,tm69778,Mikio Terashima,German Delegate (voice),ACTOR
329,26775,tm69778,Minoru Midorikawa,Servant (voice),ACTOR
330,25342,tm69778,Osamu Saka,British Delegate (voice),ACTOR
331,26776,tm69778,Shigeharu Matsuda,Saitama Riot Police Captain (voice),ACTOR
332,26778,tm69778,Shozo Hirabayashi,Interpol Chief (voice),ACTOR
333,26777,tm69778,Tadamichi Tsuneizumi,Gustav (voice),ACTOR
334,26779,tm69778,Yoko Yamaoka,Waitress (voice),ACTOR
335,94767,tm69778,Makio Inoue,Goemon Ishikawa XIII (voice),ACTOR
336,26781,tm69778,Hayao Miyazaki,,DIRECTOR
337,25707,tm69997,Richard Pryor,Himself,ACTOR
338,191724,tm69997,Jennifer Lee Pryor,Herself (uncredited),ACTOR
339,65063,tm69997,Jeff Margolis,,DIRECTOR
340,6982,tm96649,David Carradine,Cole Younger,ACTOR
341,10532,tm96649,Keith Carradine,Jim Younger,ACTOR
342,31443,tm96649,Robert Carradine,Bob Younger,ACTOR
343,16990,tm96649,James Keach,Jesse James,ACTOR
344,5314,tm96649,Stacy Keach,Frank James,ACTOR
345,8364,tm96649,Dennis Quaid,Ed Miller,ACTOR
346,4700,tm96649,Randy Quaid,Clell Miller,ACTOR
347,103549,tm96649,Kevin Brophy,John Younger,ACTOR
348,11346,tm96649,"Harry Carey, Jr.",George Arthur,ACTOR
349,11173,tm96649,Christopher Guest,Charlie Ford,ACTOR
350,6802,tm96649,Nicholas Guest,Bob Ford,ACTOR
351,103550,tm96649,Shelby Leverington,Annie Ralston,ACTOR
352,23528,tm96649,Felice Orlandi,Mr. Reddick,ACTOR
353,37723,tm96649,Pamela Reed,Belle Starr,ACTOR
354,7551,tm96649,James Remar,Sam Starr,ACTOR
355,30449,tm96649,Fran Ryan,Mrs. Samuel,ACTOR
356,464614,tm96649,Savannah Smith Boucher,Zee,ACTOR
357,499165,tm96649,Amy Stryker,Beth,ACTOR
358,236701,tm96649,James Whitmore Jr.,Mr. Rixley,ACTOR
359,103745,tm96649,John Bottoms,Mortician,ACTOR
360,510469,tm96649,West Buchanan,McCorkindale,ACTOR
361,16449,tm96649,Edward Bunker,Chadwell,ACTOR
362,510971,tm96649,Martina Deignan,Shirley Biggs,ACTOR
363,14610,tm96649,Allan Graf,Bank Customer Graf,ACTOR
364,2429,tm96649,Chris Mulkey,Vernon Biggs,ACTOR
365,1516234,tm96649,Thomas Myers,Gallatin Bank Cashier,ACTOR
366,2081617,tm96649,Marlise Karlin,Wilhelmina,ACTOR
367,477781,tm96649,Glenn Robards,Doctor,ACTOR
368,477969,tm96649,Tim Rossovich,Pitts,ACTOR
369,12578,tm96649,Lin Shaye,Kate,ACTOR
370,495571,tm96649,Gary Watkins,Bank Teller Heywood,ACTOR
371,15955,tm96649,Peter Jason,The Pinkertons,ACTOR
372,51314,tm96649,Duke Stroud,The Pinkertons,ACTOR
373,10505,tm96649,Steven Chambers,The Pinkertons,ACTOR
374,33594,tm96649,William Traylor,The Pinkertons,ACTOR
375,20123,tm96649,J. Don Ferguson,Preacher,ACTOR
376,2081747,tm96649,Hugh McGraw,Singer,ACTOR
377,1780983,tm96649,Prentiss Rowe,Sheriff Rowe,ACTOR
378,2081774,tm96649,Stuart Mossman,Engineer,ACTOR
379,948516,tm96649,Michael Lackey,Gustavson,ACTOR
380,2081848,tm96649,Mitch Greenhill,Guitarist,ACTOR
381,76226,tm96649,Bill Bryson,Banjo Player,ACTOR
382,2081927,tm96649,Tom Sauber,Fiddle Player,ACTOR
383,1739250,tm96649,Jimmy Medearis,Farmer,ACTOR
384,2081675,tm96649,Edgar McLeod,Photographer,ACTOR
385,12108,tm96649,Luis Contreras,Man at the Bar,ACTOR
386,434506,tm96649,Kalen Keach,Little Jesse,ACTOR
