index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,NUMBER_OF_SEASONS,MAIN_GENRE,MAIN_PRODUCTION
121,GLOW,2017,8.0,44751,34,4,drama,US
122,The Umbrella Academy,2019,8.0,202522,52,3,comedy,US
123,Tabula Rasa,2017,8.0,10161,52,1,drama,BE
124,Dead to Me,2019,8.0,73110,31,2,drama,US
125,The Mechanism,2018,8.0,36077,47,2,drama,BR
126,Squid Game,2021,8.0,416738,54,2,action,KR
127,Toradora!,2008,8.0,14307,30,2,animation,JP
128,Comedians in Cars Getting Coffee,2012,8.0,12363,20,11,comedy,US
129,Marco Polo,2014,8.0,71229,55,2,action,US
130,Travelers,2016,8.0,54566,45,3,scifi,CA
131,The Blacklist,2013,8.0,238138,43,9,drama,US
132,Unorthodox,2020,8.0,74118,54,1,drama,DE
133,Inside Bill's Brain: Decoding Bill Gates,2019,7.9,10776,50,1,documentary,US
134,On My Block,2018,7.9,15642,29,4,comedy,US
135,Medici: Masters of Florence,2016,7.9,18575,54,3,war,GB
136,The Seven Deadly Sins,2014,7.9,30341,24,5,action,JP
137,Queen of the South,2016,7.9,28537,42,5,drama,US
138,KILL la KILL,2013,7.9,13372,25,1,action,JP
139,Bloodline,2015,7.9,50028,57,3,drama,US
140,Into the Badlands,2015,7.9,45628,43,3,action,US
141,Merlin,2008,7.9,80138,44,5,action,GB
142,InuYasha,2000,7.9,15823,25,9,action,JP
143,Altered Carbon,2018,7.9,162018,52,2,scifi,US
144,The OA,2016,7.9,100911,55,2,scifi,US
145,Resurrection: Ertugrul,2014,7.9,35515,57,5,war,TR
146,The Borgias,2011,7.9,50556,51,3,drama,CA
147,Lilyhammer,2012,7.9,29196,45,3,crime,NO
148,Boys Over Flowers,2009,7.9,11579,64,1,comedy,KR
149,I Think You Should Leave with Tim Robinson,2019,7.9,11411,16,3,comedy,US
150,Suburra: Blood on Rome,2017,7.9,14346,48,3,crime,IT
151,The Sinner,2017,7.9,117055,45,4,crime,US
152,The Spy,2019,7.9,40535,53,1,drama,FR
153,Santa Clarita Diet,2017,7.9,64467,29,3,comedy,US
154,How to Sell Drugs Online (Fast),2019,7.9,30734,32,3,drama,DE
155,Rise of Empires: Ottoman,2020,7.9,22045,45,2,documentary,TR
156,Big Mouth,2017,7.9,74660,27,6,animation,US
157,Versailles,2015,7.9,16273,54,3,drama,CA
158,She-Ra and the Princesses of Power,2018,7.8,14935,24,5,scifi,US
159,A Series of Unfortunate Events,2017,7.8,59239,47,3,action,US
160,Gotham,2014,7.8,226081,43,5,scifi,US
161,Workin' Moms,2017,7.8,14892,22,6,comedy,CA
162,Russian Doll,2019,7.8,88945,28,2,drama,US
163,Sweet Tooth,2021,7.8,49182,45,2,scifi,US
164,Imposters,2017,7.8,13238,43,2,drama,US
165,iZombie,2015,7.8,66488,42,5,scifi,US
166,Conversations with a Killer: The Ted Bundy Tapes,2019,7.8,27439,59,1,crime,US
167,Never Have I Ever,2020,7.8,45346,28,4,drama,US
168,My Name,2021,7.8,18446,50,1,thriller,KR
169,Happy Endings,2011,7.8,37778,21,3,comedy,US
170,Crazy Ex-Girlfriend,2015,7.8,19738,42,4,comedy,US
171,El Chapo,2017,7.8,17992,44,3,drama,US
172,NCIS,2003,7.8,141049,44,19,action,US
173,Jane the Virgin,2014,7.8,46286,42,5,drama,US
174,Undercover,2019,7.8,16773,49,3,drama,BE
175,DOTA: Dragon's Blood,2021,7.8,17429,26,2,scifi,US
176,The Innocent,2021,7.8,29019,58,1,crime,ES
177,The Staircase,2004,7.8,21531,49,2,crime,FR
178,Giri/Haji,2019,7.8,13570,58,1,thriller,GB
179,Angel Beats!,2010,7.7,13848,26,1,scifi,JP
180,Love,2016,7.7,41362,32,3,drama,US
181,In the Dark,2019,7.7,10927,41,4,comedy,US
182,Midnight Mass,2021,7.7,102321,64,1,action,US
183,The Vampire Diaries,2009,7.7,310776,42,8,scifi,US
184,Alias Grace,2017,7.7,31577,44,1,drama,CA
185,You,2018,7.7,225949,47,3,thriller,US
186,Norsemen,2016,7.7,18040,30,3,comedy,NO
187,Good Girls,2018,7.7,49867,42,4,comedy,US
188,Seven Seconds,2018,7.7,15323,62,1,crime,US
189,The Chestnut Man,2021,7.7,41253,55,1,crime,DK
190,Crashing,2016,7.7,18546,30,1,comedy,GB
191,Maniac,2018,7.7,74877,39,1,drama,US
192,New Girl,2011,7.7,216209,21,7,comedy,US
193,Miraculous: Tales of Ladybug & Cat Noir,2015,7.7,10102,22,4,romance,FR
194,Home for Christmas,2019,7.7,13670,29,2,comedy,NO
195,Inside Job,2021,7.6,15137,28,1,comedy,US
196,The Serpent,2021,7.6,41782,57,1,drama,GB
197,Alice in Borderland,2020,7.6,47651,47,2,action,JP
198,Spinning Out,2020,7.6,13692,50,1,drama,US
199,Messiah,2020,7.6,42018,45,1,drama,US
200,Teenage Bounty Hunters,2020,7.6,10821,49,1,action,US
201,Shadow and Bone,2021,7.6,77782,52,1,scifi,US
202,The Devil Next Door,2019,7.6,13084,46,1,documentary,US
203,My Little Pony: Friendship Is Magic,2010,7.6,20708,22,9,scifi,CA
204,The Magicians,2015,7.6,49557,44,5,drama,US
205,Bordertown,2016,7.6,10371,59,3,drama,FI
206,Unbreakable Kimmy Schmidt,2015,7.6,70242,30,4,comedy,US
207,Chicago Med,2015,7.6,24142,41,8,drama,US
208,The 100,2014,7.6,242221,42,7,drama,US
209,The Flash,2014,7.6,336888,42,8,scifi,US
210,Cable Girls,2017,7.6,13855,50,5,drama,ES
211,Criminal: UK,2019,7.6,17992,44,2,drama,GB
212,Devilman Crybaby,2018,7.6,18575,25,1,scifi,JP
213,Madam Secretary,2014,7.6,22563,43,6,war,US
214,Sword Art Online,2012,7.6,43727,23,4,scifi,JP
215,Gilmore Girls: A Year in the Life,2016,7.6,36359,92,1,comedy,US
216,Dead Set,2008,7.6,19684,141,1,scifi,GB
217,Grey's Anatomy,2005,7.6,293618,49,18,drama,US
218,Goosebumps,1995,7.6,13361,22,4,scifi,CA
219,Love 101,2020,7.5,13797,46,2,comedy,TR
220,Shooter,2016,7.5,35547,41,3,war,US
221,Reign,2013,7.5,47751,42,4,drama,US
222,Blue Exorcist,2011,7.5,12741,24,2,scifi,JP
223,Outer Banks,2020,7.5,43404,49,2,action,US
224,Arrow,2012,7.5,425716,42,8,action,US
225,Halston,2021,7.5,14040,47,1,drama,US
226,The Night Shift,2014,7.5,12069,42,4,drama,US
227,The Heirs,2013,7.5,10329,59,1,drama,KR
228,The Politician,2019,7.5,21887,43,2,comedy,US
229,Ragnarok,2020,7.5,36185,47,2,action,NO
230,Everything Sucks!,2018,7.5,18023,24,1,drama,US
231,Frequency,2016,7.5,13625,18,3,scifi,US
232,Dark Matter,2015,7.5,41867,43,3,scifi,CA
233,Night Stalker: The Hunt for a Serial Killer,2021,7.5,23939,47,1,crime,US
234,Dash & Lily,2020,7.5,16978,25,1,comedy,US
235,True Story,2021,7.5,16927,39,1,drama,US
236,Hollywood,2020,7.5,35067,50,1,drama,US
237,Designated Survivor,2016,7.5,88019,44,3,war,US
238,Quicksand,2019,7.5,21077,46,1,drama,SE
239,Feel Good,2020,7.5,10317,25,2,drama,GB
240,Dogs of Berlin,2018,7.5,12453,60,1,drama,DE
241,Evil Genius,2018,7.5,27516,48,1,crime,US
242,13 Reasons Why,2017,7.5,282373,58,4,drama,US
243,Lupin,2021,7.5,100575,46,3,crime,FR
244,All of Us Are Dead,2022,7.5,41393,61,1,action,KR
245,I Am Not Okay with This,2020,7.5,56459,21,1,comedy,US
