index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,MAIN_GENRE,MAIN_PRODUCTION
377,Mary Kom,2014,6.9,10656,122,drama,IN
378,Suffragette,2015,6.9,41529,106,drama,FR
379,Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,82623,100,fantasy,US
380,Christine,2016,6.9,14977,115,drama,US
381,The Night Comes for Us,2018,6.9,25500,121,thriller,ID
382,The Trip,2021,6.9,19706,113,comedy,NO
383,The Dirt,2019,6.9,47603,108,drama,US
384,Top Gun,1986,6.9,329656,110,drama,US
385,Radhe Shyam,2022,6.9,21328,138,romance,IN
386,Sorry to Bother You,2018,6.9,75653,111,fantasy,US
